case,baseline_id,lst_stratum,lst_bin_id,beam,paired_beam,morphology,flux_jy,multiplicity,residual_model,sigma_cal,ell_nu_mhz,cal_seed,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,6,0.002997002997002997,0.030438157617412327,0.4945054945054945,0.002997002997002997,0.03500190619216912,0.5764235764235764,window-integrated candidate
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,7,0.002997002997002997,0.030398392949509037,0.5014985014985015,0.002997002997002997,0.0349247799841928,0.5784215784215784,window-integrated candidate
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,8,0.005994005994005994,0.030440572020965926,0.4985014985014985,0.004995004995004995,0.03498030668957689,0.5744255744255744,window-integrated candidate
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,9,0.000999000999000999,0.030347288831957742,0.4945054945054945,0.001998001998001998,0.03487985606823774,0.5874125874125874,window-integrated candidate
3,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,10,0.002997002997002997,0.030401972059483258,0.5034965034965035,0.000999000999000999,0.034939772152074125,0.5804195804195804,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,white,0.01,,1,0.001998001998001998,0.031250205706249645,0.5154845154845155,0.006993006993006993,0.039800517151991455,0.4985014985014985,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,white,0.01,,2,0.001998001998001998,0.031246985703880775,0.5174825174825175,0.006993006993006993,0.03979270055692424,0.5004995004995005,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,white,0.01,,3,0.001998001998001998,0.031227900969682906,0.5174825174825175,0.006993006993006993,0.03975966497085363,0.5004995004995005,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,white,0.01,,4,0.001998001998001998,0.031231197365876703,0.5154845154845155,0.006993006993006993,0.03977461630526514,0.5004995004995005,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,white,0.01,,5,0.001998001998001998,0.03128725286364192,0.5154845154845155,0.006993006993006993,0.03982828276819326,0.5014985014985015,window-integrated candidate
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,white,0.01,,6,0.001998001998001998,0.03127219175134923,0.5154845154845155,0.006993006993006993,0.03982184562986662,0.4985014985014985,window-integrated candidate
