baseline_id,baseline_class,lst_stratum,lst_bin_id,sat_rank,norad_id,sat_name,epoch,freq_mhz,peak_alt_deg,mean_alt_visible_deg,n_time_visible,doppler_min_hz,doppler_max_hz,doppler_abs_max_hz,doppler_span_hz,doppler_abs_max_khz,doppler_span_khz,fraction_of_48p8khz_spacing,fraction_of_12p2khz_linewidth
4_76,mid,typical,33,3,45686,SAT-45686-E26001.19420889,26001.19420889,150.0,82.2588899716668,77.86338774992768,5,-904.4020943521354,717.9251967119275,904.4020943521354,1622.3272910640628,0.9044020943521354,1.622327291064063,0.018532829802297854,0.07413131920919142
4_76,mid,typical,33,4,48290,SAT-48290-E26001.00003472,26001.00003472,150.0,81.74994230465758,77.55959226948092,3,-1156.5473766213383,433.0497550312641,1156.5473766213383,1589.5971316526025,1.1565473766213383,1.5895971316526025,0.023699741324207754,0.09479896529683102
4_76,mid,typical,33,5,48412,SAT-48412-E26001.04176526,26001.04176526,150.0,73.70875201426482,72.78938635634337,3,-476.7047987135877,327.20167950943267,476.7047987135877,803.9064782230204,0.47670479871358773,0.8039064782230204,0.00976854095724565,0.0390741638289826
4_76,mid,stress,0,1,46696,SAT-46696-E26001.00003472,26001.00003472,150.0,86.61659354435372,80.62094422858915,4,-894.0740217705511,742.6665137295333,894.0740217705511,1636.7405355000844,0.8940740217705511,1.6367405355000844,0.018321188970708013,0.07328475588283205
4_76,mid,stress,0,2,48029,SAT-48029-E26001.15965029,26001.15965029,150.0,85.10376826151555,79.60637395586066,5,-902.1129403576266,729.2583002725264,902.1129403576266,1631.371240630153,0.9021129403576266,1.6313712406301528,0.018485920908967758,0.07394368363587103
4_76,mid,stress,0,3,44725,SAT-44725-E26001.60793575,26001.60793575,150.0,84.15168638094258,79.02850166418537,5,-860.8845718776031,769.2234936057982,860.8845718776031,1630.1080654834013,0.8608845718776031,1.6301080654834013,0.017641077292573835,0.07056430917029534
4_76,mid,stress,0,4,46687,SAT-46687-E26001.59635556,26001.59635556,150.0,73.7079505041063,72.30809952335672,3,-641.2314523617189,387.24271486930104,641.2314523617189,1028.47416723102,0.6412314523617189,1.0284741672310198,0.013139988777904076,0.052559955111616305
82_0,mid,quiet,17,1,46168,SAT-46168-E26001.00003472,26001.00003472,150.0,83.2290292216474,76.61374736970596,5,-1020.6260457274509,1036.6777235432492,1036.6777235432492,2057.3037692707003,1.0366777235432492,2.0573037692707,0.02124339597424691,0.08497358389698764
82_0,mid,quiet,17,2,47826,SAT-47826-E26001.52824829,26001.52824829,150.0,73.75688275630966,72.82735473480648,3,-389.09747455923895,415.38717372138433,415.38717372138433,804.4846482806233,0.41538717372138434,0.8044846482806234,0.008512032248389024,0.034048128993556095
82_0,mid,typical,18,1,47817,SAT-47817-E26001.80100212,26001.80100212,150.0,84.1276612632686,78.04232781003235,6,-1005.5561248454333,1008.000001275334,1008.000001275334,2013.5561261207672,1.0080000012753338,2.013556126120767,0.020655737731051924,0.0826229509242077
82_0,mid,typical,18,2,47825,SAT-47825-E26001.53194725,26001.53194725,150.0,83.60176787854083,77.39646476764413,6,-1061.3170172054909,944.3101004329151,1061.3170172054909,2005.627117638406,1.0613170172054909,2.0056271176384057,0.021748299532899404,0.08699319813159762
82_0,mid,typical,18,3,44933,SAT-44933-E26001.00003472,26001.00003472,150.0,78.89559264601145,75.54360767350154,3,-841.0827436809549,584.815153436739,841.0827436809549,1425.897897117694,0.8410827436809549,1.4258978971176939,0.01723530212460973,0.06894120849843892
82_0,mid,typical,18,4,46505,SAT-46505-E26001.22239213,26001.22239213,150.0,72.43396144595525,71.71072912307554,2,-476.5468789970636,65.92558926899984,476.5468789970636,542.4724682660634,0.47654687899706355,0.5424724682660634,0.00976530489748081,0.03906121958992324
82_0,mid,stress,64,1,46538,SAT-46538-E26001.21851690,26001.21851690,150.0,89.63690995091079,78.4966853621566,5,-1124.8273364956756,1090.0610557312305,1124.8273364956756,2214.888392226906,1.1248273364956756,2.2148883922269063,0.023049740501960566,0.09219896200784226
82_0,mid,stress,64,2,45222,SAT-45222-E26001.12140841,26001.12140841,150.0,81.7023614745384,76.54799797828525,6,-996.2423681194604,1009.0785456993575,1009.0785456993575,2005.3209138188179,1.0090785456993574,2.0053209138188177,0.020677839051216344,0.08271135620486537
